PRACTICE,ADDRESS1,ADDRESS2,CITY,POSTCODE,EASTING,NORTHING,LATITUDE,LONGITUDE
Grafton Square (Dr Ala),8B Grafton Square,Brixton,London,SW4 0DE ,529318,175614,51.464731276652316,-0.13977938161114925
Brixton Hill Group Practice,22-23 Raileigh Gardens,Brixton,London,SW2 1AE,530704,174271,51.452344070402404,-0.12033445362938631
Clapham Family Practice,89 Clapham High Street,Clapham,London,SW4 7DB,529745,175452,51.46317778803572,-0.1336953540230704
Clapham Park Group Practice,72 Clarence Avenue,Clapham,London,SW4 8JP,529670,174196,51.451907585951155,-0.13523445646869797
Courtyard Surgery,89 Clapham High Street,Clapham,London,SW4 7DB,529745,175452,51.46317778803572,-0.1336953540230704
Curran & Partners,86 Clapham Manor St,Clapham,London,SW4 6EB,529318,175614,51.464731276652316,-0.13977938161114925
Edith Cavell Practice,41a-c Streatham Hill,Streatham,London,SW2 4TP,530436,173019,51.441154435118904,-0.12465025455309511
Exchange Surgery,Gracefield Gardens Health & Social Care Centre,"2-8 Gracefield Gardens, Streatham",London,SW16 2ST,530250,172067,51.43264180427048,-0.12767479342609464
Gunasuntharam Surgery,31 Prentis Rd,Streatham,London,SW16 1QB,529890,171844,51.43072031402045,-0.13293232794167315
Dr Masterton & Partners Surgery (Dr.),2 Prentis Rd,Streatham,London,SW16 1XU,530074,171838,51.43062422537991,-0.13028921717528372
Palace Road Surgery,3 Palace Rd,Brixton,London,SW2 3DY,530741,173291,51.44352856988884,-0.12016401636518932
Pavilion Practice - Hetherington,9 Brighton Terrace,Brixton,London,SW9 8DJ,530951,175326,51.461767987638815,-0.11639149594003069
Hetherington Group Practice,18 Hetherington Rd,Clapham,London,SW4 7NU,530113,175242,51.46120617760191,-0.12847819002130018
Sandmere Road Practice,10 Sandmere Rd,Clapham,London,SW4 7QJ,530123,175400,51.46262378295636,-0.12827623387518808
Santamaria (Dr Sheila),86 Clapham Manor Street,Clapham,London,SW4 6EB,529318,175614,51.464731276652316,-0.13977938161114925
Streatham Common Group Practice,St Andrew's Hall,Guildersfield Road,London,SW16 5LS,530194,170218,51.41603810267975,-0.12915866457338554
Streatham High Practice,Gracefield Gardens Health & Social Care Centre,"2-8 Gracefield Gardens, Streatham",London,SW16 2ST,530250,172067,51.43264180427048,-0.12767479342609464
Streatham Hill Group Practice,6 Leigham Court Road,Streatham ,London,SW16 2PG,530318,172585,51.43728132185798,-0.12650669081181068
Hurley at Streatham Place Surgery,28 Streatham Place,Streatham,London,SW2 4QY,530284,173590,51.4463208132105,-0.12662601865606565
Vale Surgery,Streatham Vale,Streatham,London,SW16 5SE,529685,170350,51.41734091529364,-0.13642583127001817
